Name,University/Organization,Type of Chair,Conference,Year
Nigel Davies,Lancaster University,Program Committee,MobiCom,2001
Deborah Estrin,USC/ISI,Program Committee,MobiCom,2001
"Yuguang ""Michael"" Fang",University of Florida,Program Committee,MobiCom,2001
Armando Fox,Stanford,Program Committee,MobiCom,2001
Paul Havinga,University of Twente,Program Committee,MobiCom,2001
Stefan Hild,IBM Zurich,Program Committee,MobiCom,2001
Ravi Jain,Telcordia,Program Committee,MobiCom,2001
David B. Johnson,Rice University,Program Committee,MobiCom,2001
Anthony Joseph,University of California Berkeley,Program Committee,MobiCom,2001
Parviz Kermani,IBM,Program Committee,MobiCom,2001
Tom LaPorta,Lucent,Program Committee,MobiCom,2001
Murray Mazer,Lumigent,Program Committee,MobiCom,2001
Brian Noble,University of Michigan,Program Committee,MobiCom,2001
Venkat Padmanabhan,Microsoft Research,Program Committee,MobiCom,2001
Charles Perkins,Nokia Research Center,Program Committee,MobiCom,2001
Chiara Petrioli,"Università di Roma ""La Sapienza""",Program Committee,MobiCom,2001
George Polyzos,AEUB,Program Committee,MobiCom,2001
Ramesh Rao,University of California San Diego,Program Committee,MobiCom,2001
Jason Redi,BBN Technologies,Program Committee,MobiCom,2001
Srini Seshan,Carnegie Mellon University,Program Committee,MobiCom,2001
Krishna Sivalingam,Washington State University,Program Committee,MobiCom,2001
Leandros Tassiulas,University of Maryland,Program Committee,MobiCom,2001
Roy Want,Intel,Program Committee,MobiCom,2001
Adam Wolisz,TU Berlin,Program Committee,MobiCom,2001
Mario Gerla,University of California Los Angeles,Organizing Committee General Chair,MobiCom,2006
Chiara Petrioli,"Rome University ""La Sapienza""",Program Co-Chair,MobiCom,2006
Ram Ramjee,Bell Labs,Program Co-Chair,MobiCom,2006
John Silvester,University of Southern California,Financial Co-Chair,MobiCom,2006
Giovanni Pau,University of California Los Angeles,Financial Co-Chair,MobiCom,2006
Imrich Chlamtac (Chair),CreateNet,Steering Committee,MobiCom,2006
Victor Bahl,Microsoft Research,Steering Committee,MobiCom,2006
David B. Johnson,Rice University,Steering Committee,MobiCom,2006
Christopher Rose,Rutgers University,Steering Committee,MobiCom,2006
Farooq Anjum,Telcordia Tech.,Program Committee,MobiCom,2006
Victor Bahl,Microsoft Research,Program Committee,MobiCom,2006
Suman Banerjee,University of Wisconsin,Program Committee,MobiCom,2006
Stefano Basagni,Northeastern University,Program Committee,MobiCom,2006
Elizabeth Belding-Royer,University of California Santa Barbara,Program Committee,MobiCom,2006
Guohong Cao,Pennsylvania State University,Program Committee,MobiCom,2006
Carla-Fabiana Chiasserini,Politecnico di Torino,Program Committee,MobiCom,2006
Ananthanarayanan Chockalingam,Indian Institute of Science,Program Committee,MobiCom,2006
Sajal Das,University of Texas Arlington,Program Committee,MobiCom,2006
Samir Das,SUNY at Stony Brook,Program Committee,MobiCom,2006
Nigel Davies,Lancaster University,Program Committee,MobiCom,2006
Anthony Ephremides,University of Maryland at College Park,Program Committee,MobiCom,2006
Virgil Gligor,University of Maryland,Program Committee,MobiCom,2006
Jennifer Hou,University of Illinois Urbana Champaign,Program Committee,MobiCom,2006
Ravi Jain,Google,Program Committee,MobiCom,2006
Anthony Joseph,University of California Berkeley,Program Committee,MobiCom,2006
Sneha Kasera,University of Utah,Program Committee,MobiCom,2006
Edward W. Knightly,Rice University,Program Committee,MobiCom,2006
Robin Kravets,University of Illinois Urbana Champaign,Program Committee,MobiCom,2006
Tom La Porta,Penn State University,Program Committee,MobiCom,2006
Sung-Ju Lee,HP Labs,Program Committee,MobiCom,2006
Li Li,Bell Labs,Program Committee,MobiCom,2006
Mingyan Liu,University of Michigan,Program Committee,MobiCom,2006
Songwu Lu,University of California Los Angeles,Program Committee,MobiCom,2006
Haiyun Luo,University of Illinois Urbana Champaign,Program Committee,MobiCom,2006
Prasant Mohapatra,University of California Davis,Program Committee,MobiCom,2006
Thyaga Nandagopal,Bell Labs,Program Committee,MobiCom,2006
Jason Nieh,Columbia University,Program Committee,MobiCom,2006
Brian Noble,University of Michigan,Program Committee,MobiCom,2006
Radha Poovendran,University of Washington,Program Committee,MobiCom,2006
Lili Qiu,University of Texas Austin,Program Committee,MobiCom,2006
Ram Ramanathan,BBN Technologies,Program Committee,MobiCom,2006
Emilia Rosti,Università di Milano,Program Committee,MobiCom,2006
Raghupathy Sivakumar,Georgia Institute of Technology,Program Committee,MobiCom,2006
Martha Steenstrup,Clemson University/Stow Research L.L.C.,Program Committee,MobiCom,2006
Ivan Stojmenovic,University of Ottawa,Program Committee,MobiCom,2006
Violet Syrotiuk,Arizona State University,Program Committee,MobiCom,2006
Nitin Vaidya,University of Illinois Urbana Champaign,Program Committee,MobiCom,2006
Adam Wolisz,TU Berlin,Program Committee,MobiCom,2006
Michele Zorzi,Università degli Studi di Padova,Program Committee,MobiCom,2006
Sumi Helal,University of Florida,Organizing Committee General Chair,MobiCom,2013
Ranveer Chandra,Microsoft,Program Co-Chair,MobiCom,2013
Robin Kravets,University of Illinois Urbana Champaign,Program Co-Chair,MobiCom,2013
Raja Bose,Microsoft,Workshops Co-Chair,MobiCom,2013
Moustafa Youssef,Egypt-Japan University of Science & Technology,Workshops Co-Chair,MobiCom,2013
Tamer ElBatt,Cairo University and Nile University,Demo Co-Chair,MobiCom,2013
Yongguang Zhang,Beijing,Demo Co-Chair,MobiCom,2013
Paolo Bellavesta,University of Bologna,Posters Co-Chair,MobiCom,2013
Tamer Nadeem,Old Dominion University,Posters Co-Chair,MobiCom,2013
Lili Qiu,University of Texas Austin,Panel Co-Chair,MobiCom,2013
Sasu Tarkoma,University of Helsinki,Panel Co-Chair,MobiCom,2013
Christine Julien,University of Texas Austin,Publication Chair,MobiCom,2013
Souvik Sen,HP labs,SRC Chair,MobiCom,2013
Wendong Li,Nokia,Mobile App Competition Co-Chair,MobiCom,2013
Sumi Helal,University of Florida,Mobile App Competition Co-Chair,MobiCom,2013
Pei Zhang,Carnegie Mellon University,Publicity Chair,MobiCom,2013
Sunghyun Choi,Seoul National University,Publicity Co-Chair,MobiCom,2013
Enrique Mafla,National Polytechnic University,Publicity Co-Chair,MobiCom,2013
Lin Zhang,Tsinghua University,Publicity Co-Chair,MobiCom,2013
Ahmed Helmy,University of Florida,Finance Chair,MobiCom,2013
