Name,University/Organization,No_of_times_as_TPC
Hari Balakrishan,Massachusetts Institute of Technology,1
Steve Bellovin,AT&T Labs - Research,1
Dave Clark,Massachusetts Institute of Technology,1
Mark Crovella,Boston University and Network Appliance,1
Jon Crowcroft,Cambridge University,2
Peter Druschel,Rice University,1
Anja Feldmann,University of Saarbruecken,1
Matt Grossglauser,AT&T Labs - Research,1
Craig Labovitz,Arbor Networks,2
Greg Minshall,Redback Networks,1
Jennifer Rexford,AT&T Labs - Research,1
Jim Roberts,France Telecomm,1
Scott Shenker,ICIR,1
George Varghese,Univerisity of California San Diego,1
David Wetherall,University of Washington,3
Pablo Rodriguez,Telefonica Research,4
Ernst Biersack,Eurecom,1
Konstantina  Papagiannaki,Intel Labs Pittsburgh,1
Luigi Rizzo,Università di Pisa,3
Christophe Diot,Thomson,4
Dolors Sala,Universitat Pompeu Fabra,1
Jaudelice de Oliveira,Drexel University,3
Ant Rowstron,Microsoft Research,1
Joel Sommers,Colgate University,2
Nick Feamster,Georgia Tech,2
Renata Teixeira,CNRS and UPMC,3
Jordi Domingo,Universitat Politècnica de Catalunya,1
University of California Irvine,USA,1
Dejan Kostic,EPFL,1
Serge Fdida,Lip6,1
Susanna Avessta,DIMES Association,1
Javier Aracil,Universidad Autónoma de Madrid,1
Moritz Steiner,Bell-Labs / Alcatel-Lucent,1
Suman Banerjee,Madison,1
Ranjita Bhagwan,Microsoft Research India,1
Augustin Chaintreau,Thomson,2
Ranveer Chandra,Microsoft Research,2
Dah Ming Chiu,Chinese University of Hong Kong,2
Saumitra Das,Qualcomm Inc.,1
Anja Feldmann,Deutsche Telekom Laboratories / TU-Berlin,1
Krishna Gummadi,MPI-SWS,4
Gianluca Iannaccone,Intel Research Berkeley,1
Thomas Karagiannis,Microsoft Research,2
S. Keshav,University of Waterloo,3
Eddie Kohler,Inc. / UCLA,1
Dmitri Krioukov,CAIDA/UCSD San Diego,1
Sam Leffler,Unaffiliated,1
David Malone,NUI Maynooth,1
David Maltz,Microsoft Research,1
Morley Mao,University of Michigan,1
David Mazieres,Stanford,1
Marco Mellia,Politecnico di Torino,1
Refik Molva,EURECOM,1
Himabindu Pucha,Almaden,2
Bhaskaran Raman,IIT Bombay,5
Jen Rexford,Princeton University,1
