Name,University/Organization,No_of_times_as_TPC
Symeon Papavassiliou,National Technical University of Athens,1
Ahmed Helmy,University of Florida,1
Kevin Almeroth,University of California at Santa Barbara,1
Sami Ayyorgun,Los Alamos National Laboratory,1
Sem Borst,Lucent Technologies,1
Timothy Brown,University of Colorado,1
Milind Buddhikot,Lucent Technologies,1
Tracy Camp,Colorado School of Mines,2
Mung Chiang,Princeton University,1
Marco Conti,IIT-CNR,2
Mark Corner,University of Massachusetts,1
Samir Das,SUNY at Stony Brook,2
Eylem Ekici,Ohio State University,7
Anthony Ephremides,University of Maryland at College Park,2
Ayalvadi Ganesh,Microsoft Research,1
Dirk Grunwald,University of Colorado,1
Isabelle Guerin Lassous,Inria,1
Wendi Heinzelman,University of Rochester,1
Xiaoyan Hong,University of Alabama,1
Tara Javidi,San Diego,3
George Kesidis,Pennsylvania State University,1
Bhaskar Krishnamachari,University of Southern California,7
Marwan Krunz,University of Arizona,3
Sung-Ju Lee,HP Labs,3
Mingyan Liu,University of Michigan,4
Xin Liu,Davis,1
Ibrahim Matta,Boston University,1
Prasant Mohapatra,Davis,1
Thyaga Nandagopal,Lucent Technologies,2
Cristina Nita-Rotaru,Purdue University,1
Guevara Noubir,Northeastern University,1
Charles Perkins,Nokia Research Center,3
Paolo Santi,CNR,3
Ness Shroff,Purdue University,1
David Simplot-Ryl,University Lille,2
Suresh Singh,Portland State University,3
Prasun Sinha,Ohio State University,3
R. Srikant,University of Illinois Urbana Champaign,3
David Starobinski,Boston University,2
Ioannis Stavrakakis,National and Kapodistrian University of Athens,1
Martha Steenstrup,Clemson University/Stow Research L.L.C.,1
Violet Syrotiuk,Arizona State University,3
Xudong Wang,Inc.,1
Jie Wu,Florida Atlantic University,2
Mark Yarvis,Intel Corporation,1
Haitao Zheng,Santa Barbara,2
Michele Zorzi,Università degli Studi di Padova,1
Gil Zussman,Massachusetts Institute of Technology,1
Ioanis Nikolaidis,University of Alberta,1
Andrew Miles,Carleton University,1
Michel Paquette,Carleton University,1
Suhas Diggavi,University of California Los Angeles,1
SimLin Lau,University of California Los Angeles,1
Giovanni Pau,Paris,2
Xiaowen Gong,Auburn University,2
Alex Afanasyev,Florida International University,2
