Name,University/Organization,No_of_times_as_TPC
Bodhi Priyantha,"Microsoft Research, USA",2
Vijay Raghunathan,"Purdue University, USA",1
Ali H. Sayed,University of California Los Angeles,1
Jacky Shen,"Microsoft Research Asia, China",1
Junehwa Song,"KAIST, Korea",1
John Stankovic,"University of Virginia, USA",1
Niki Trigoni,"Oxford University, UK",1
Guoliang Xing,"Michigan State University, USA",1
Yanyong Zhang,"Rutgers University, USA",1
Luca Mottola,Politecnico di Milan,1
Marco Zimmerling,TU Dresden,1
Juhi Ranjan,"IIID, India",1
Kai Li,"CISTER - ISEP/IPP, Portugal",1
Olga Saukh,TU Graz / CSH Vienna,1
Dimistrios Lymberopoulo,Microsoft,1
Naveed Anwar Bhatti,Politecnico di Milano,1
Yuan He,Tsinghua University,1
Muhammad Hamad Alizai,"LUMS, Pakistan",2
Wen Hu ,UNSW and CSIRO,2
Gian Pietro Picco ,University of Trento,1
Tam Vu ,University of Colorado,1
Rasit Eskicioglu,University of Manitoba,2
Luca Mottola,Politecnico di Milan and RISE SICS,1
Ambuj Varshney,Uppsala University,1
Amit Levy,Princeton University,1
Naveen Anwar Bhatti,RISE SICS,1
Matteo Ceriotti,University of Duisburg-Essen,1
Hamed Yousefi,University of Michigan,1
Shijia Pan,Carnegie Mellon University,1
Vijay S. Rao,TU Delft,1
Amy Murphy ,Bruno Kessler Foundation,1
Anthony Rowe ,Carnegie Mellon University,1
Chenren Xu ,Peking University,1
Guoliang Xing ,Michigan State University,1
Hae Young Noh ,Carnegie Mellon University,1
Hamad Alizai ,LUMS,1
Jeremy Gummeson ,University of Massachusetts Amherst,1
Jie Gao ,Stony Brook University,1
Jie Liu ,Microsoft Research,1
Koen Langendoen ,TU Delft,1
Krishna Chintalapudi ,Microsoft,1
Lothar Thiele ,ETH Zurich,1
Matteo Cesana ,Politecnico di Milano,1
Marco Zimmerling ,TU Dresden,1
Niki Trigoni ,"Oxford University, UK",1
Neal Patwari ,University of Utah,1
Olga Saukh ,TU Graz ,1
Omprakash Gnawali ,University of Houston,1
Pei Zhang ,Carnegie Mellon University,1
Rui Tan ,Nanyang Technological University,1
Sourav Bhattacharya ,Bell Lab,1
Thiemo Voigt ,RISE SICS,1
Yiran Chen ,Duke University,1
Youngki Lee ,Seoul National University,1
Yuan He ,Tsinghua University,1
Yung Hsiang Lu ,Purdue University,1
Andreas Savvides,Yale University,6
Adam Wolisz,TU Berlin,4
Gang Zhou,College of William & Mary,1
Brano Kusy,Stanford,1
Jose' Moura,Carnegie Mellon University,4
Anders Ahlen,Uppsala University,1
Anish Arora,Ohio State University,2
Qing Cao,University of Tennessee,2
Deepak Ganesan,University of Massachusetts Amherst,3
Ramesh Govindan,University of Southern California,2
Xenofon Koutsoukos,Vanderbilt University,6
Sotiris Nikoletseas,University of Patras and CTI,1
Carlo Fischione,"KTH, Sweden",1
Mikael Johansson,"KTH, Sweden",1
Brad Karp,University College London,2
Chenyang Lu,Washington University in St. Louis,5
Miklos Maroti,"University of Szeged, Hungary",1
Luca Mottola,SICS,1
Kay Romer,ETH Zurich,3
Paolo Santi,"Pisa, Italy",1
Cormac Sreenan,"University College Cork, Ireland",1
Matt Welsh,Harvard University,2
Jan Beutel,ETH Zurich,4
Prabal Dutta,University of Michigan,3
Michel Goraczko,Microsoft Research,1
Pedro Marron,University of Duisburg-Essen and Fraunhofer IAIS,1
Lama Nachman,Intel Corp,2
Joe Polastre,"Sentilla, FU Berlin",1
Jochen,Schiller,1
Matt Welsh,Harvard,2
John Heidemann,USC/ISI,1
Joe Hellerstein,University of California Berkeley,1
Seth Teller,Massachusetts Institute of Technology,1
Haiyun Luo,University of Illinois Urbana Champaign,1
Jie Liu,MSR,1
Chenyang Lu,WUSTL,1
Feng Zhao,MSR,1
John Cozzens,NSF,2
P. R. Kumar,University of Illinois Urbana Champaign,4
Sri Kumar,DARPA,4
Peter Corke,CSIRO,4
Abbas El Gamal,Stanford,1
Sandor Fekete,TU Braunschweig,1
Deepak Ganesan,UMass Amherst,1
Jie Gao,Stonybrook,1
Lew Girod,University of California Los Angeles,1
Carlos Guestrin,Carnegie Mellon University,2
Uwe Hanebeck,U. Karlsruhe,1
Thomas C. Henderson,Utah,1
Jennifer Hou,University of Illinois Urbana Champaign,2
Eddie Kohler,University of California Los Angeles,1
Bhaskar Krisnamachari,University of Southern California,1
Qun Li,College of William and Mary,1
Tom Little,BU,1
Julia Liu,PARC,1
Miklos Maroti,University of Szeged,3
Rich Martin,Rutgers,1
Suman Nath,Microsoft,1
Adrian Perrig,Carnegie Mellon University,2
Kay Roemer,ETH Zurich,1
Gruia-Catalin Roman,WUSTL,1
Gaurav Sukhatme,University of Southern California,3
Martin Wainwright,University of California Berkeley,1
Gaetano Boriello,University of Washington,1
Jeremy Elson,MSR,1
William Hodgkiss,University of California San Diego,2
Hans Gellersen,Lancaster University,1
Mark Hansen,University of California Los Angeles,1
Chalermek Intanagonwiwat,Chulalongkorn University,1
Gerald Maguire,KTH Stockholm,2
Michael Niedermayer,Fraunhofer IZM,2
Brendan O'Flynn,Tyndall Institute,1
Joseph Paradiso,Massachusetts Institute of Technology,1
Trevor Pering,Intel Research,2
Joe Polastre,Moteiv,2
Jim Reich,PARC,3
Brian Schott,ISI,1
Howard Shrobe,Massachusetts Institute of Technology,2
Eric Yeatman,Imperial College,1
Chris Van Hoof,IMEC,1
Frank Vernon,University of California San Diego,2
Wayne Wolfe,Princeton,1
Kazuo Yano,Hitachi Research,1
Mark Yarvis,Intel,1
John Cozzens,National Science Foundation,2
Jose' Moura,Carnegie Mellon University ,1
Janos Sztipanovits,Vanderbilt University ,1
Martin. Vetterli,EPFL,1
Kung Yao,University of California Los Angeles,2
Rob Nowak,UW-Madison,1
Mani Srivastava,University of California Los Angeles,6
Lakshman Krishnamurthy,Intel,1
David Jaquez,University of California Los Angeles,1
Bernie Dempsey,University of California Los Angeles,2
Yu Hen Hu,UW-Madison,1
Jon Agre,Fujitsu Laboratories of America,1
Philip Levis,Stanford,3
Jie Gao,SUNY Stonybrook,2
Wen Hu,CSIRO,2
Hamid Aghajan,Stanford,1
Scott Brandt,University of California Santa Cruz,1
Branislav Kusy,Stanford,2
Bela Bollobas,University of Memphis,1
Ugur Cetintemel,Brown University,1
